time,trade_price,trade_volume,ask,bid
93022330,22600,10000,770914,233303
93022330,22600,100,770914,236698
93022330,22600,83100,770914,240852
93029090,22600,14200,804579,240852
93030590,22600,1000,811364,240852
93033810,22600,1000,829175,240852
93036310,22600,3900,843305,240852
93036600,22600,7300,844880,240852
93036600,22600,5000,844880,247732
93036600,22600,5000,844883,247732
93036600,22600,100,844883,257361
93036600,22600,400,844883,269874
93037050,22600,300,848120,269874
93037640,22600,4300,852316,269874
93037640,22600,5600,852316,277743
93039610,22600,5700,861736,277743
93042320,22600,36700,876802,277743
93042320,22600,10000,876802,282440
93042320,22600,100,876802,282828
93042320,22600,5500,876802,291536
93042320,22600,14500,876802,309950
93042320,22600,10000,876802,314929
93042320,22600,20000,876802,367599
93042320,22600,3200,876802,391766
93045680,22600,6800,894529,391766
93045680,22600,5700,894529,398761
93045700,22600,4300,894662,398761
93045700,22600,200,894662,422687
93045700,22600,1500,894662,441429
93045700,22600,100,894662,441839
93045700,22600,6400,894662,471191
93045700,22600,19600,894668,471191
93045700,22600,5000,894668,482491
93045700,22600,10000,894668,524997
93045700,22600,2000,894668,541022
93045700,22600,1000,894668,554543
93045700,22600,6200,894668,555597
93045700,22600,1000,894668,639144
93045700,22600,10000,894668,652334
93045700,22600,100,894668,664143
93045700,22600,4200,894668,667663
93045700,22600,400,894668,679724
93045700,22600,2000,894668,702757
93045700,22600,100,894668,715158
93045740,22600,2900,894908,715158
93045740,22600,100,894908,715724
93045740,22600,1600,894908,716327
93046860,22600,2200,901603,716327
93047680,22600,1500,905385,716327
93047680,22600,1800,905385,758514
93047680,22600,800,905385,793215
93047680,22600,4500,905385,808030
93047680,22600,100,905385,811743
93047680,22600,7300,905385,820799
93048730,22600,6400,910217,820799
93048730,22600,500,910217,861743
93048990,22600,6400,912166,861743
93048990,22600,500,912166,886452
93051360,22600,400,912199,923558
93102960,22600,1000,912199,986670
93111950,22500,1100,1035627,12202
93128530,22500,10000,1113619,12202
93129920,22500,10000,1118871,12202
93132130,22600,4600,912199,1128534
93132130,22600,4500,921805,1128534
93144070,22500,500,1178282,12202
93145380,22600,1000,921805,1183018
93145530,22600,200,921805,1183588
93155630,22500,800,1224371,12202
93203380,22600,400,921805,1256286
93209440,22500,6400,1280533,12202
93217950,22500,11200,1312649,12202
93217950,22500,2300,1312649,17936
93217960,22500,15500,1312666,17936
93231700,22500,7000,1363667,17936
93231700,22500,13400,1363667,17945
93231700,22500,4900,1363667,73764
93231700,22500,200,1363667,84597
93239630,22600,100,921805,1391430
93241320,22500,15300,1397372,84597
93241320,22500,300,1397372,114154
93241320,22500,3000,1397372,114378
93241320,22500,11400,1397372,148926
93241320,22500,2000,1397372,162123
93241320,22500,3000,1397372,181987
93241320,22500,4500,1397372,185170
93241320,22500,5000,1397372,186264
93241320,22500,2300,1397372,199247
93241320,22500,10000,1397372,204323
93241320,22500,10000,1397372,217204
93241320,22500,10000,1397372,228207
93241320,22500,9000,1397372,233821
93241320,22500,11400,1397372,244353
93241320,22500,5000,1397372,261967
93241320,22500,12100,1397372,453795
93241320,22500,11600,1397372,454230
93241320,22500,300,1397372,470001
93241320,22500,2500,1397372,500602
93241320,22500,10000,1397372,506582
93241320,22500,2200,1397372,536648
93241320,22500,1000,1397372,578296
93241320,22500,700,1397372,597864
93241320,22500,3700,1397372,599427
93241320,22500,2800,1397372,626172
93241320,22500,10300,1397372,628100
93241320,22500,100,1397372,811612
93241320,22500,8900,1397372,939361
93241320,22500,2200,1397372,971003
93241320,22500,3000,1397372,1007483
93241320,22500,10000,1397372,1046890
93241320,22500,9300,1397372,1088785
93241320,22500,100,1397372,1108869
93241320,22500,6000,1397372,1118184
93241320,22500,1000,1397372,1125461
93243170,22500,28000,1404250,1125461
93247470,22500,12300,1419368,1125461
93247470,22500,2000,1419368,1143902
93247470,22500,1600,1419368,1154328
93247470,22500,1900,1419368,1155528
93247470,22500,11700,1419368,1158725
93247470,22500,5000,1419368,1158946
93247470,22500,3300,1419368,1163954
93247470,22500,10000,1419368,1186538
93247470,22500,5400,1419368,1204207
93247470,22500,3000,1419368,1222028
93247470,22500,8800,1419368,1224788
93247470,22500,1900,1419368,1227999
93250990,22500,2000,1431756,1227999
93252060,22600,3400,921805,1435301
93308240,22500,3100,1501937,1227999
93309330,22500,1600,1505705,1227999
93314150,22500,1400,1524761,1227999
93314150,22500,1600,1524761,1228755
93322020,22500,400,1552912,1228755
93322020,22500,1800,1552912,1248645
93322040,22500,300,1553037,1248645
93329790,22500,1200,1581133,1248645
93331330,22500,1700,1587153,1248645
93331330,22500,100,1587153,1254837
93331330,22500,1500,1587153,1282984
93331710,22500,500,1588650,1282984
93331710,22500,700,1588650,1306658
93332880,22500,1600,1592628,1306658
93332880,22500,400,1592628,1321712
93333660,22500,5600,1595376,1321712
93333660,22500,1400,1595376,1323869
93334600,22600,2000,921805,1599774
93336290,22500,4600,1605681,1323869
93336290,22500,900,1605681,1326983
93338530,22600,3300,921805,1615009
93339650,22500,3300,1619056,1326983
93342380,22500,1100,1629192,1326983
93353460,22600,3300,921805,1667335
93355290,22600,900,921805,1672906
93402510,22500,2000,1697505,1326983
93410540,22500,2700,1725360,1326983
93410540,22500,10000,1725360,1330403
93410540,22500,3000,1725360,1343531
93410540,22500,500,1725360,1350256
93410540,22500,1000,1725360,1355939
93410540,22500,1000,1725360,1364367
93410540,22500,10000,1725360,1390303
93410540,22500,71800,1725360,1417716
93414000,22600,500,921805,1736837
93415890,22500,4200,1742472,1417716
93415890,22500,2000,1742472,1430440
93415890,22500,100,1742472,1435260
93415890,22500,5000,1742472,1467459
93415890,22500,2000,1742472,1488845
93415950,22500,8300,1742725,1488845
93415950,22500,5000,1742725,1524239
93419900,22500,1200,1754417,1524239
93420280,22500,100,1755544,1524239
93420310,22500,800,1755646,1524239
93421520,22500,12900,1758806,1524239
93421520,22500,900,1758806,1525043
93421520,22500,35700,1758806,1539586
93421520,22500,100,1758806,1574422
93421520,22500,8500,1758806,1586063
93421520,22500,1300,1758806,1601103
93421520,22500,600,1758806,1633348
93421930,22600,3000,921805,1760194
93426730,22500,2800,1774579,1633348
93426730,22500,500,1774579,1635967
93426730,22500,3700,1774579,1667507
93426730,22500,2700,1774579,1669060
93426730,22500,2000,1774579,1685801
93426730,22500,3500,1774579,1690882
93426730,22500,800,1774579,1698574
93426730,22500,10000,1774579,1698624
93426730,22500,3200,1774579,1714325
93426730,22500,800,1774579,1717625
93427670,22500,2000,1777208,1717625
93427670,22500,900,1777208,1726352
93427670,22500,10100,1777208,1729631
93427670,22500,100,1777208,1739822
93427670,22500,1900,1777208,1753760
93429490,22500,4100,1782985,1753760
93432300,22500,1200,1782985,1791671
93435240,22500,10000,1782985,1800714
93436160,22500,1000,1782985,1803202
93441230,22500,100,1782985,1819028
93443880,22500,1000,1782985,1827711
93444140,22500,4800,1782985,1828587
93452550,22500,500,1782985,1854958
93454550,22500,1100,1782985,1860509
93455310,22400,600,1863337,25721
93457760,22500,14600,1782985,1870353
93505070,22500,1100,1782985,1895973
93516280,22400,2900,1930954,25721
93516410,22500,1200,1782985,1931430
93527610,22500,1200,1782985,1963674
93527810,22400,100,1964453,25721
93530700,22400,26000,1972870,25721
93538330,22500,1100,1782985,1996107
93545460,22400,400,2016119,25721
93545460,22400,200,2016119,77506
93549610,22500,1000,1782985,2028444
93553830,22500,10000,1782985,2039642
93600290,22500,1200,1782985,2063250
93601360,22500,100,1794187,2068502
93602910,22500,2400,1794187,2074424
93603310,22500,6900,1794187,2075995
93604240,22500,22300,1794187,2080993
93609560,22400,1200,2103604,77506
93609750,22500,8300,1794187,2104497
93609750,22500,1300,1795463,2104497
93609750,22500,2100,1795475,2104497
93609750,22500,8300,1803201,2104497
93610430,22500,400,1803201,2109588
93611210,22500,1200,1803201,2113115
93614100,22500,3000,1834903,2127942
93614810,22500,12400,1834903,2131130
93614810,22500,10000,1857956,2131130
93614810,22500,23800,1865592,2131130
93615510,22500,2200,1865592,2133828
93615510,22500,5300,1866639,2133828
93615510,22500,6000,1932674,2133828
93615510,22500,1500,1938629,2133828
93615510,22500,8100,1969864,2133828
93615650,22500,100,1969864,2134420
93615670,22500,500,1969864,2134563
93615680,22500,1300,1969864,2134627
93615680,22500,2000,1976203,2134627
93615680,22500,1100,1981615,2134627
93615710,22500,3900,1981615,2134816
93615710,22500,3800,1999529,2134816
93615710,22500,4800,2082988,2134816
93615720,22500,5600,2082988,2134835
93615720,22500,6900,2134855,2134835
93616910,22500,100,2141400,2136345
93616910,22500,100,2141400,2136919
93617420,22500,9800,2141400,2143467
93617810,22500,2500,2141400,2144854
93618950,22500,200,2141400,2149499
93620780,22500,2300,2141400,2157494
93620780,22500,6000,2143511,2157494
93621840,22500,900,2161373,2157494
93623900,22500,800,2169575,2157494
93623900,22500,1400,2169575,2157586
93627950,22500,100,2185011,2157586
93627970,22500,300,2185105,2157586
93630650,22500,100,2194558,2157586
93630820,22500,700,2195212,2157586
93631740,22500,100,2199158,2157586
93631790,22500,100,2199256,2157586
93631900,22500,100,2199587,2157586
93631940,22500,500,2199701,2157586
93632040,22500,700,2200092,2157586
93632040,22500,1100,2200092,2165404
