wind_code,date,time,bs_flag,trade_price,trade_volume,ask_order,bid_order,,,,,,,time,trade_price,trade_volume,ask,bid
000629.SZ,20200327,92500000,B,22600,4400,191618,218749,,0,0,0,0,0,92500000,22600,4400,191618,218749
000629.SZ,20200327,92500000,B,22600,100,191618,220275,,0,0,0,0,0,92500000,22600,100,191618,220275
000629.SZ,20200327,92500000,B,22600,100,191618,220276,,0,0,0,0,0,92500000,22600,100,191618,220276
000629.SZ,20200327,92500000,B,22600,100,191618,220280,,0,0,0,0,0,92500000,22600,100,191618,220280
000629.SZ,20200327,92500000,B,22600,100,191618,220281,,0,0,0,0,0,92500000,22600,100,191618,220281
000629.SZ,20200327,92500000,B,22600,100,191618,220282,,0,0,0,0,0,92500000,22600,100,191618,220282
000629.SZ,20200327,92500000,B,22600,100,191618,220283,,0,0,0,0,0,92500000,22600,100,191618,220283
000629.SZ,20200327,92500000,B,22600,100,191618,220290,,0,0,0,0,0,92500000,22600,100,191618,220290
000629.SZ,20200327,92500000,B,22600,100,191618,220292,,0,0,0,0,0,92500000,22600,100,191618,220292
000629.SZ,20200327,92500000,B,22600,100,191618,221134,,0,0,0,0,0,92500000,22600,100,191618,221134
000629.SZ,20200327,92500000,B,22600,100,191618,221248,,0,0,0,0,0,92500000,22600,100,191618,221248
000629.SZ,20200327,92500000,B,22600,100,191618,226761,,0,0,0,0,0,92500000,22600,100,191618,226761
000629.SZ,20200327,92500000,B,22600,7400,191618,227056,,0,0,0,0,0,92500000,22600,7400,191618,227056
000629.SZ,20200327,92500000,B,22600,20000,196585,227056,,0,0,0,0,0,92500000,22600,20000,196585,227056
000629.SZ,20200327,92500000,S,22600,7000,245766,227056,,0,0,0,0,0,92500000,22600,7000,245766,227056
000629.SZ,20200327,92500000,S,22600,100,246986,227056,,0,0,0,0,0,92500000,22600,100,246986,227056
000629.SZ,20200327,92500000,S,22600,300,311775,227056,,0,0,0,0,0,92500000,22600,300,311775,227056
000629.SZ,20200327,93000170,B,22700,3200,23771,382695,,0,0,0,0,0,93000170,22700,3200,23771,382695
000629.SZ,20200327,93000170,B,22700,1000,37372,382695,,0,0,0,0,0,93000170,22700,1000,37372,382695
000629.SZ,20200327,93000170,B,22700,14800,46084,382695,,0,0,0,0,0,93000170,22700,14800,46084,382695
000629.SZ,20200327,93000170,B,22700,2600,46084,382872,,0,0,0,0,0,93000170,22700,2600,46084,382872
000629.SZ,20200327,93000170,B,22700,5000,95168,382872,,0,0,0,0,0,93000170,22700,5000,95168,382872
000629.SZ,20200327,93000170,B,22700,2400,147955,382872,,0,0,0,0,0,93000170,22700,2400,147955,382872
000629.SZ,20200327,93000200,B,22700,1000,147955,385526,,0,0,0,0,0,93000200,22700,1000,147955,385526
000629.SZ,20200327,93000200,B,22700,5000,147955,385890,,0,0,0,0,0,93000200,22700,5000,147955,385890
000629.SZ,20200327,93000260,B,22700,15000,147955,392447,,0,0,0,0,0,93000260,22700,15000,147955,392447
000629.SZ,20200327,93000270,B,22700,5000,147955,393615,,0,0,0,0,0,93000270,22700,5000,147955,393615
000629.SZ,20200327,93000670,B,22700,1600,147955,423034,,0,0,0,0,0,93000670,22700,1600,147955,423034
000629.SZ,20200327,93000670,B,22700,2900,149434,423034,,0,0,0,0,0,93000670,22700,2900,149434,423034
000629.SZ,20200327,93000670,B,22700,500,156537,423034,,0,0,0,0,0,93000670,22700,500,156537,423034
000629.SZ,20200327,93000870,B,22700,200,156537,433933,,0,0,0,0,0,93000870,22700,200,156537,433933
000629.SZ,20200327,93001040,S,22600,800,443199,227056,,0,0,0,0,0,93001040,22600,800,443199,227056
000629.SZ,20200327,93001060,B,22700,9300,156537,444400,,0,0,0,0,0,93001060,22700,9300,156537,444400
000629.SZ,20200327,93001060,B,22700,1400,166689,444400,,0,0,0,0,0,93001060,22700,1400,166689,444400
000629.SZ,20200327,93001060,B,22700,11400,177574,444400,,0,0,0,0,0,93001060,22700,11400,177574,444400
000629.SZ,20200327,93001370,S,22600,1000,458726,227056,,0,0,0,0,0,93001370,22600,1000,458726,227056
000629.SZ,20200327,93001560,B,22700,10000,177574,469256,,0,0,0,0,0,93001560,22700,10000,177574,469256
000629.SZ,20200327,93001580,B,22700,700,177574,470324,,0,0,0,0,0,93001580,22700,700,177574,470324
000629.SZ,20200327,93001670,S,22600,10000,474545,227056,,0,0,0,0,0,93001670,22600,10000,474545,227056
000629.SZ,20200327,93001870,B,22700,27900,177574,483731,,0,0,0,0,0,93001870,22700,27900,177574,483731
000629.SZ,20200327,93001870,B,22700,24200,181591,483731,,0,0,0,0,0,93001870,22700,24200,181591,483731
000629.SZ,20200327,93001870,B,22700,5000,210425,483731,,0,0,0,0,0,93001870,22700,5000,210425,483731
000629.SZ,20200327,93001870,B,22700,20000,219784,483731,,0,0,0,0,0,93001870,22700,20000,219784,483731
000629.SZ,20200327,93001870,B,22700,6500,245839,483731,,0,0,0,0,0,93001870,22700,6500,245839,483731
000629.SZ,20200327,93002390,S,22600,4000,506075,227056,,0,0,0,0,0,93002390,22600,4000,506075,227056
000629.SZ,20200327,93002420,B,22700,5000,245839,507831,,0,0,0,0,0,93002420,22700,5000,245839,507831
000629.SZ,20200327,93002580,B,22700,2000,245839,514758,,0,0,0,0,0,93002580,22700,2000,245839,514758
000629.SZ,20200327,93002610,B,22700,2000,245839,516011,,0,0,0,0,0,93002610,22700,2000,245839,516011
000629.SZ,20200327,93002620,S,22600,20000,516360,227056,,0,0,0,0,0,93002620,22600,20000,516360,227056
000629.SZ,20200327,93002860,B,22700,2000,245839,526578,,0,0,0,0,0,93002860,22700,2000,245839,526578
000629.SZ,20200327,93003170,S,22600,9900,538201,227056,,0,0,0,0,0,93003170,22600,9900,538201,227056
000629.SZ,20200327,93003300,B,22700,1500,245839,542422,,0,0,0,0,0,93003300,22700,1500,245839,542422
000629.SZ,20200327,93004490,S,22600,100,582198,227056,,0,0,0,0,0,93004490,22600,100,582198,227056
000629.SZ,20200327,93004500,S,22600,100,582470,227056,,0,0,0,0,0,93004500,22600,100,582470,227056
000629.SZ,20200327,93005070,B,22700,5000,245839,597808,,0,0,0,0,0,93005070,22700,5000,245839,597808
000629.SZ,20200327,93005710,S,22600,6700,615539,227056,,0,0,0,0,0,93005710,22600,6700,615539,227056
000629.SZ,20200327,93005940,B,22700,1000,245839,620250,,0,0,0,0,0,93005940,22700,1000,245839,620250
000629.SZ,20200327,93006030,S,22600,14000,622169,227056,,0,0,0,0,0,93006030,22600,14000,622169,227056
000629.SZ,20200327,93006720,S,22600,6700,638168,227056,,0,0,0,0,0,93006720,22600,6700,638168,227056
000629.SZ,20200327,93008350,S,22600,1300,670132,227056,,0,0,0,0,0,93008350,22600,1300,670132,227056
000629.SZ,20200327,93010080,S,22600,1200,692581,227056,,0,0,0,0,0,93010080,22600,1200,692581,227056
000629.SZ,20200327,93010080,S,22600,5800,692581,231595,,0,0,0,0,0,93010080,22600,5800,692581,231595
000629.SZ,20200327,93010440,B,22700,1000,245839,697507,,0,0,0,0,0,93010440,22700,1000,245839,697507
000629.SZ,20200327,93012560,B,22700,2000,245839,714948,,0,0,0,0,0,93012560,22700,2000,245839,714948
000629.SZ,20200327,93013390,B,22700,2300,245839,721650,,0,0,0,0,0,93013390,22700,2300,245839,721650
000629.SZ,20200327,93015370,S,22600,200,733973,231595,,0,0,0,0,0,93015370,22600,200,733973,231595
000629.SZ,20200327,93019320,S,22600,300,755585,231595,,0,0,0,0,0,93019320,22600,300,755585,231595
000629.SZ,20200327,93020540,S,22600,1200,760926,231595,,0,0,0,0,0,93020540,22600,1200,760926,231595
000629.SZ,20200327,93021300,S,22600,4500,764391,231595,,0,0,0,0,0,93021300,22600,4500,764391,231595
000629.SZ,20200327,93022280,S,22600,1200,770469,231595,,0,0,0,0,0,93022280,22600,1200,770469,231595
000629.SZ,20200327,93022330,S,22600,6800,770914,231595,,0,0,0,0,0,93022330,22600,6800,770914,231595
000629.SZ,20200327,93022330,S,22600,10000,770914,233303,,0,0,0,0,0,93022330,22600,10000,770914,233303
000629.SZ,20200327,93022330,S,22600,100,770914,236698,,0,0,0,0,0,93022330,22600,100,770914,236698
000629.SZ,20200327,93022330,S,22600,83100,770914,240852,,0,0,0,0,0,93022330,22600,83100,770914,240852
000629.SZ,20200327,93029090,S,22600,14200,804579,240852,,0,0,0,0,0,93029090,22600,14200,804579,240852
000629.SZ,20200327,93030590,S,22600,1000,811364,240852,,0,0,0,0,0,93030590,22600,1000,811364,240852
000629.SZ,20200327,93033810,S,22600,1000,829175,240852,,0,0,0,0,0,93033810,22600,1000,829175,240852
000629.SZ,20200327,93036310,S,22600,3900,843305,240852,,0,0,0,0,0,93036310,22600,3900,843305,240852
000629.SZ,20200327,93036600,S,22600,7300,844880,240852,,0,0,0,0,0,93036600,22600,7300,844880,240852
000629.SZ,20200327,93036600,S,22600,5000,844880,247732,,0,0,0,0,0,93036600,22600,5000,844880,247732
000629.SZ,20200327,93036600,S,22600,5000,844883,247732,,0,0,0,0,0,93036600,22600,5000,844883,247732
000629.SZ,20200327,93036600,S,22600,100,844883,257361,,0,0,0,0,0,93036600,22600,100,844883,257361
000629.SZ,20200327,93036600,S,22600,400,844883,269874,,0,0,0,0,0,93036600,22600,400,844883,269874
000629.SZ,20200327,93037050,S,22600,300,848120,269874,,0,0,0,0,0,93037050,22600,300,848120,269874
000629.SZ,20200327,93037640,S,22600,4300,852316,269874,,0,0,0,0,0,93037640,22600,4300,852316,269874
000629.SZ,20200327,93037640,S,22600,5600,852316,277743,,0,0,0,0,0,93037640,22600,5600,852316,277743
000629.SZ,20200327,93039610,S,22600,5700,861736,277743,,0,0,0,0,0,93039610,22600,5700,861736,277743
000629.SZ,20200327,93042320,S,22600,36700,876802,277743,,0,0,0,0,0,93042320,22600,36700,876802,277743
000629.SZ,20200327,93042320,S,22600,10000,876802,282440,,0,0,0,0,0,93042320,22600,10000,876802,282440
000629.SZ,20200327,93042320,S,22600,100,876802,282828,,0,0,0,0,0,93042320,22600,100,876802,282828
000629.SZ,20200327,93042320,S,22600,5500,876802,291536,,0,0,0,0,0,93042320,22600,5500,876802,291536
000629.SZ,20200327,93042320,S,22600,14500,876802,309950,,0,0,0,0,0,93042320,22600,14500,876802,309950
000629.SZ,20200327,93042320,S,22600,10000,876802,314929,,0,0,0,0,0,93042320,22600,10000,876802,314929
000629.SZ,20200327,93042320,S,22600,20000,876802,367599,,0,0,0,0,0,93042320,22600,20000,876802,367599
000629.SZ,20200327,93042320,S,22600,3200,876802,391766,,0,0,0,0,0,93042320,22600,3200,876802,391766
000629.SZ,20200327,93045680,S,22600,6800,894529,391766,,0,0,0,0,0,93045680,22600,6800,894529,391766
000629.SZ,20200327,93045680,S,22600,5700,894529,398761,,0,0,0,0,0,93045680,22600,5700,894529,398761
000629.SZ,20200327,93045700,S,22600,4300,894662,398761,,0,0,0,0,0,93045700,22600,4300,894662,398761
000629.SZ,20200327,93045700,S,22600,200,894662,422687,,0,0,0,0,0,93045700,22600,200,894662,422687
000629.SZ,20200327,93045700,S,22600,1500,894662,441429,,0,0,0,0,0,93045700,22600,1500,894662,441429
000629.SZ,20200327,93045700,S,22600,100,894662,441839,,0,0,0,0,0,93045700,22600,100,894662,441839
000629.SZ,20200327,93045700,S,22600,6400,894662,471191,,0,0,0,0,0,93045700,22600,6400,894662,471191
000629.SZ,20200327,93045700,S,22600,19600,894668,471191,,0,0,0,0,0,93045700,22600,19600,894668,471191
000629.SZ,20200327,93045700,S,22600,5000,894668,482491,,0,0,0,0,0,93045700,22600,5000,894668,482491
000629.SZ,20200327,93045700,S,22600,10000,894668,524997,,0,0,0,0,0,93045700,22600,10000,894668,524997
000629.SZ,20200327,93045700,S,22600,2000,894668,541022,,0,0,0,0,0,93045700,22600,2000,894668,541022
000629.SZ,20200327,93045700,S,22600,1000,894668,554543,,0,0,0,0,0,93045700,22600,1000,894668,554543
000629.SZ,20200327,93045700,S,22600,6200,894668,555597,,0,0,0,0,0,93045700,22600,6200,894668,555597
000629.SZ,20200327,93045700,S,22600,1000,894668,639144,,0,0,0,0,0,93045700,22600,1000,894668,639144
000629.SZ,20200327,93045700,S,22600,10000,894668,652334,,0,0,0,0,0,93045700,22600,10000,894668,652334
000629.SZ,20200327,93045700,S,22600,100,894668,664143,,0,0,0,0,0,93045700,22600,100,894668,664143
000629.SZ,20200327,93045700,S,22600,4200,894668,667663,,0,0,0,0,0,93045700,22600,4200,894668,667663
000629.SZ,20200327,93045700,S,22600,400,894668,679724,,0,0,0,0,0,93045700,22600,400,894668,679724
000629.SZ,20200327,93045700,S,22600,2000,894668,702757,,0,0,0,0,0,93045700,22600,2000,894668,702757
000629.SZ,20200327,93045700,S,22600,100,894668,715158,,0,0,0,0,0,93045700,22600,100,894668,715158
000629.SZ,20200327,93045740,S,22600,2900,894908,715158,,0,0,0,0,0,93045740,22600,2900,894908,715158
000629.SZ,20200327,93045740,S,22600,100,894908,715724,,0,0,0,0,0,93045740,22600,100,894908,715724
000629.SZ,20200327,93045740,S,22600,1600,894908,716327,,0,0,0,0,0,93045740,22600,1600,894908,716327
000629.SZ,20200327,93046860,S,22600,2200,901603,716327,,0,0,0,0,0,93046860,22600,2200,901603,716327
000629.SZ,20200327,93047680,S,22600,1500,905385,716327,,0,0,0,0,0,93047680,22600,1500,905385,716327
000629.SZ,20200327,93047680,S,22600,1800,905385,758514,,0,0,0,0,0,93047680,22600,1800,905385,758514
000629.SZ,20200327,93047680,S,22600,800,905385,793215,,0,0,0,0,0,93047680,22600,800,905385,793215
000629.SZ,20200327,93047680,S,22600,4500,905385,808030,,0,0,0,0,0,93047680,22600,4500,905385,808030
000629.SZ,20200327,93047680,S,22600,100,905385,811743,,0,0,0,0,0,93047680,22600,100,905385,811743
000629.SZ,20200327,93047680,S,22600,7300,905385,820799,,0,0,0,0,0,93047680,22600,7300,905385,820799
000629.SZ,20200327,93048730,S,22600,6400,910217,820799,,0,0,0,0,0,93048730,22600,6400,910217,820799
000629.SZ,20200327,93048730,S,22600,500,910217,861743,,0,0,0,0,0,93048730,22600,500,910217,861743
000629.SZ,20200327,93048990,S,22600,6400,912166,861743,,0,0,0,0,0,93048990,22600,6400,912166,861743
000629.SZ,20200327,93048990,S,22600,500,912166,886452,,0,0,0,0,0,93048990,22600,500,912166,886452
000629.SZ,20200327,93051360,B,22600,400,912199,923558,,0,0,0,0,0,93051360,22600,400,912199,923558
000629.SZ,20200327,93102960,B,22600,1000,912199,986670,,0,0,0,0,0,93102960,22600,1000,912199,986670
000629.SZ,20200327,93111950,S,22500,1100,1035627,12202,,0,0,0,0,0,93111950,22500,1100,1035627,12202
000629.SZ,20200327,93128530,S,22500,10000,1113619,12202,,0,0,0,0,0,93128530,22500,10000,1113619,12202
000629.SZ,20200327,93129920,S,22500,10000,1118871,12202,,0,0,0,0,0,93129920,22500,10000,1118871,12202
000629.SZ,20200327,93132130,B,22600,4600,912199,1128534,,0,0,0,0,0,93132130,22600,4600,912199,1128534
000629.SZ,20200327,93132130,B,22600,4500,921805,1128534,,0,0,0,0,0,93132130,22600,4500,921805,1128534
000629.SZ,20200327,93144070,S,22500,500,1178282,12202,,0,0,0,0,0,93144070,22500,500,1178282,12202
000629.SZ,20200327,93145380,B,22600,1000,921805,1183018,,0,0,0,0,0,93145380,22600,1000,921805,1183018
000629.SZ,20200327,93145530,B,22600,200,921805,1183588,,0,0,0,0,0,93145530,22600,200,921805,1183588
000629.SZ,20200327,93155630,S,22500,800,1224371,12202,,0,0,0,0,0,93155630,22500,800,1224371,12202
000629.SZ,20200327,93203380,B,22600,400,921805,1256286,,0,0,0,0,0,93203380,22600,400,921805,1256286
000629.SZ,20200327,93209440,S,22500,6400,1280533,12202,,0,0,0,0,0,93209440,22500,6400,1280533,12202
000629.SZ,20200327,93217950,S,22500,11200,1312649,12202,,0,0,0,0,0,93217950,22500,11200,1312649,12202
000629.SZ,20200327,93217950,S,22500,2300,1312649,17936,,0,0,0,0,0,93217950,22500,2300,1312649,17936
000629.SZ,20200327,93217960,S,22500,15500,1312666,17936,,0,0,0,0,0,93217960,22500,15500,1312666,17936
000629.SZ,20200327,93231700,S,22500,7000,1363667,17936,,0,0,0,0,0,93231700,22500,7000,1363667,17936
000629.SZ,20200327,93231700,S,22500,13400,1363667,17945,,0,0,0,0,0,93231700,22500,13400,1363667,17945
000629.SZ,20200327,93231700,S,22500,4900,1363667,73764,,0,0,0,0,0,93231700,22500,4900,1363667,73764
000629.SZ,20200327,93231700,S,22500,200,1363667,84597,,0,0,0,0,0,93231700,22500,200,1363667,84597
000629.SZ,20200327,93239630,B,22600,100,921805,1391430,,0,0,0,0,0,93239630,22600,100,921805,1391430
000629.SZ,20200327,93241320,S,22500,15300,1397372,84597,,0,0,0,0,0,93241320,22500,15300,1397372,84597
000629.SZ,20200327,93241320,S,22500,300,1397372,114154,,0,0,0,0,0,93241320,22500,300,1397372,114154
000629.SZ,20200327,93241320,S,22500,3000,1397372,114378,,0,0,0,0,0,93241320,22500,3000,1397372,114378
000629.SZ,20200327,93241320,S,22500,11400,1397372,148926,,0,0,0,0,0,93241320,22500,11400,1397372,148926
000629.SZ,20200327,93241320,S,22500,2000,1397372,162123,,0,0,0,0,0,93241320,22500,2000,1397372,162123
000629.SZ,20200327,93241320,S,22500,3000,1397372,181987,,0,0,0,0,0,93241320,22500,3000,1397372,181987
000629.SZ,20200327,93241320,S,22500,4500,1397372,185170,,0,0,0,0,0,93241320,22500,4500,1397372,185170
000629.SZ,20200327,93241320,S,22500,5000,1397372,186264,,0,0,0,0,0,93241320,22500,5000,1397372,186264
000629.SZ,20200327,93241320,S,22500,2300,1397372,199247,,0,0,0,0,0,93241320,22500,2300,1397372,199247
000629.SZ,20200327,93241320,S,22500,10000,1397372,204323,,0,0,0,0,0,93241320,22500,10000,1397372,204323
000629.SZ,20200327,93241320,S,22500,10000,1397372,217204,,0,0,0,0,0,93241320,22500,10000,1397372,217204
