wind_code,date,time,index,function_code,order_kind,bs_flag,trade_price,trade_volume,ask_order,bid_order
000629.SZ,20200327,92500000,323141,0,0,S,22600,100,295439,171357
000629.SZ,20200327,92500000,323142,0,0,S,22600,100,295439,171358
000629.SZ,20200327,92500000,323143,0,0,S,22600,100,295439,171359
000629.SZ,20200327,92500000,323144,0,0,S,22600,100,295439,171360
000629.SZ,20200327,92500000,323145,0,0,S,22600,100,295439,171362
000629.SZ,20200327,92500000,323146,0,0,S,22600,100,295439,171363
000629.SZ,20200327,92500000,323147,0,0,S,22600,100,295439,171370
000629.SZ,20200327,92500000,323148,0,0,S,22600,100,295439,171374
000629.SZ,20200327,92500000,323149,0,0,S,22600,100,295439,172254
000629.SZ,20200327,92500000,323150,0,0,S,22600,8000,295439,182894
000629.SZ,20200327,92500000,323151,0,0,S,22600,9300,295439,183711
000629.SZ,20200327,92500000,323152,0,0,S,22600,5700,300975,183711
000629.SZ,20200327,92500000,323153,0,0,S,22600,500,300975,185578
000629.SZ,20200327,92500000,323154,0,0,S,22600,800,300975,186473
000629.SZ,20200327,92500000,323155,0,0,S,22600,100,300975,187099
000629.SZ,20200327,92500000,323156,0,0,S,22600,100,300975,187100
000629.SZ,20200327,92500000,323157,0,0,S,22600,100,300975,187101
000629.SZ,20200327,92500000,323158,0,0,S,22600,100,300975,187102
000629.SZ,20200327,92500000,323159,0,0,S,22600,100,300975,187115
000629.SZ,20200327,92500000,323160,0,0,S,22600,100,300975,187116
000629.SZ,20200327,92500000,323161,0,0,S,22600,100,300975,187573
000629.SZ,20200327,92500000,323162,0,0,S,22600,100,300975,187574
000629.SZ,20200327,92500000,323163,0,0,S,22600,100,300975,188501
000629.SZ,20200327,92500000,323164,0,0,S,22600,2000,300975,189289
000629.SZ,20200327,92500000,323165,0,0,S,22600,6100,300975,192131
000629.SZ,20200327,92500000,323166,0,0,S,22600,100,300975,197722
000629.SZ,20200327,92500000,323167,0,0,S,22600,1000,300975,198932
000629.SZ,20200327,92500000,323168,0,0,S,22600,100,300975,203732
000629.SZ,20200327,92500000,323169,0,0,S,22600,100,300975,203733
000629.SZ,20200327,92500000,323170,0,0,S,22600,100,300975,203734
000629.SZ,20200327,92500000,323171,0,0,S,22600,100,300975,203735
000629.SZ,20200327,92500000,323172,0,0,S,22600,100,300975,203737
000629.SZ,20200327,92500000,323173,0,0,S,22600,100,300975,203738
000629.SZ,20200327,92500000,323174,0,0,S,22600,100,300975,203748
000629.SZ,20200327,92500000,323175,0,0,S,22600,100,300975,203750
000629.SZ,20200327,92500000,323176,0,0,S,22600,100,300975,203886
000629.SZ,20200327,92500000,323177,0,0,S,22600,100,300975,204568
000629.SZ,20200327,92500000,323178,0,0,S,22600,10000,300975,207612
000629.SZ,20200327,92500000,323179,0,0,S,22600,1900,300975,209555
000629.SZ,20200327,92500000,323180,0,0,B,22600,600,18955,209555
000629.SZ,20200327,92500000,323181,0,0,B,22600,2000,168787,209555
000629.SZ,20200327,92500000,323182,0,0,B,22600,500,169365,210575
000629.SZ,20200327,92500000,323183,0,0,B,22600,500,191618,210575
000629.SZ,20200327,92500000,323184,0,0,B,22600,10000,191618,212554
000629.SZ,20200327,92500000,323185,0,0,B,22600,4400,191618,218749
000629.SZ,20200327,92500000,323186,0,0,B,22600,100,191618,220275
000629.SZ,20200327,92500000,323187,0,0,B,22600,100,191618,220276
000629.SZ,20200327,92500000,323188,0,0,B,22600,100,191618,220280
000629.SZ,20200327,92500000,323189,0,0,B,22600,100,191618,220281
000629.SZ,20200327,92500000,323190,0,0,B,22600,100,191618,220282
000629.SZ,20200327,92500000,323191,0,0,B,22600,100,191618,220283
000629.SZ,20200327,92500000,323192,0,0,B,22600,100,191618,220290
000629.SZ,20200327,92500000,323193,0,0,B,22600,100,191618,220292
000629.SZ,20200327,92500000,323194,0,0,B,22600,100,191618,221134
000629.SZ,20200327,92500000,323195,0,0,B,22600,100,191618,221248
